Subject	Scaling factor	Quantile value	Number of identified features	Library size
ESC.1.69.NPR.279690	50.9999999999995	1	95	1314
ESC.1.69.OPL.279699	73.9999999999995	2	111	1813
ESC.1.69.OPR.279668	55.9999999999995	3	80	1745
ESC.1.70.NPL.279548	47.9999999999995	1	85	920
ESC.1.70.NPR.279517	34.9999999999995	1	66	961
ESC.1.70.OPL.279570	29.9999999999995	3	43	1132
ESC.1.70.OPR.279543	30.9999999999995	2.67017543859649	63	1882
ESC.1.71.NPL.279693	95.9999999999995	1	167	1475
ESC.1.71.NPR.279545	30.9999999999995	1	66	785
ESC.1.71.OPL.279661	84.9999999999995	3	113	1643
ESC.1.71.OPR.279471	81.9999999999995	2	136	1681
ESC.1.72.NPL.279666	72.9999999999995	1	134	1217
ESC.1.72.NPR.279648	45.9999999999995	1	101	1328
ESC.1.72.OPL.279581	64.9999999999995	3	105	1429
ESC.1.72.OPR.279523	60.9999999999995	1	142	1491
ESC.1.9.NPL.279497	33.9999999999995	2.0140350877193	59	1900
ESC.1.9.NPR.279682	26.9999999999995	3.87368421052632	49	1093
ESC.1.9.OPL.279655	24.9999999999995	1	56	931
ESC.1.9.OPR.279628	27.9999999999995	1.32631578947369	67	914
ESC.1.9a.NPL.279476	57.9999999999995	3	78	1114
ESC.1.9a.NPR.279438	42.9999999999995	4	61	1638
ESC.1.9a.OPL.279644	74.9999999999995	1	153	2125
ESC.1.9a.OPR.279519	40.9999999999995	1	82	878
